instrument_type,symbol,option_type,strike,expiry_days,quantity,mark_price,mark_value,net_delta_contribution,net_vega_contribution
underlying,UNDERLYING,,,,-1974.0,91.988394,-181585.08991,-1974.0,0.0
option,CALL_90.00_14D,call,90.0,14,10,3.128139,3128.138658,665.837253,7211.603876
option,PUT_90.00_14D,put,90.0,14,-3,1.139745,-341.923374,100.248824,-2163.481163
option,CALL_95.00_14D,call,95.0,14,-5,0.807911,-403.955624,-139.135584,-3324.982923
option,PUT_95.00_14D,put,95.0,14,-7,3.819517,-2673.662019,505.210183,-4654.976092
option,CALL_100.00_14D,call,100.0,14,-14,0.106942,-149.718733,-76.335898,-3064.820378
option,PUT_100.00_14D,put,100.0,14,9,8.118548,7306.693087,-850.926923,1970.241672
option,CALL_105.00_14D,call,105.0,14,7,0.007305,5.113385,3.50748,200.940411
option,PUT_105.00_14D,put,105.0,14,-7,13.018911,-9113.237531,696.49252,-200.940411
option,CALL_110.00_14D,call,110.0,14,8,0.000301,0.240749,0.20504,15.141727
option,PUT_110.00_14D,put,110.0,14,-4,18.011907,-7204.762743,399.89748,-7.570864
option,CALL_90.00_45D,call,90.0,45,1,4.96811,496.810958,60.152651,1461.307979
option,PUT_90.00_45D,put,90.0,45,9,2.979716,2681.743955,-358.626142,13151.771813
option,CALL_95.00_45D,call,95.0,45,3,2.536402,760.92056,119.267544,4381.23741
option,PUT_95.00_45D,put,95.0,45,2,5.548008,1109.601558,-120.488304,2920.82494
option,CALL_100.00_45D,call,100.0,45,-1,1.11608,-111.607981,-21.939538,-1119.309849
option,PUT_100.00_45D,put,100.0,45,-8,9.127686,-7302.148586,624.4837,-8954.478791
option,CALL_105.00_45D,call,105.0,45,7,0.432885,303.019683,71.811234,4738.728977
option,PUT_105.00_45D,put,105.0,45,-1,13.444491,-1344.449118,89.741252,-676.961282
option,CALL_110.00_45D,call,110.0,45,3,0.154909,46.472755,12.75019,1028.143607
option,PUT_110.00_45D,put,110.0,45,-3,18.166515,-5449.954531,287.24981,-1028.143607
option,CALL_90.00_90D,call,90.0,90,-1,6.778446,-677.844635,-58.601611,-2114.312726
option,PUT_90.00_90D,put,90.0,90,-6,4.790052,-2874.031363,248.390337,-12685.876354
option,CALL_95.00_90D,call,95.0,90,4,4.301848,1720.739101,178.515638,8580.716758
option,PUT_95.00_90D,put,95.0,90,-3,7.313454,-2194.036103,166.113272,-6435.537569
option,CALL_100.00_90D,call,100.0,90,6,2.575313,1545.187793,188.373953,11549.592645
option,PUT_100.00_90D,put,100.0,90,-5,10.586919,-5293.459455,343.021706,-9624.660537
option,CALL_105.00_90D,call,105.0,90,2,1.478905,295.781065,41.286489,3096.339648
option,PUT_105.00_90D,put,105.0,90,10,14.490511,14490.511247,-793.567555,15481.698241
option,CALL_110.00_90D,call,110.0,90,-4,0.834611,-333.844495,-51.898171,-4585.50421
option,PUT_110.00_90D,put,110.0,90,4,18.846217,7538.486863,-348.101829,4585.50421
