toxic_flow_prob,base_half_spread,seed,steps,ending_pnl,gross_spread_captured,total_signed_markout,toxic_fill_rate,adverse_fill_rate,hedge_trade_count,max_inventory_contracts
0.2,0.06,7,180,-298.310674,3212.9734,-3130.467659,0.210526,0.467105,70,162
0.2,0.09,7,180,718.689326,4229.9734,-2113.467659,0.210526,0.453947,70,162
0.2,0.12,7,180,1735.689326,5246.9734,-1096.467659,0.210526,0.447368,70,162
0.2,0.15,7,180,2751.903611,6263.187685,-80.253459,0.210526,0.447368,70,162
0.4,0.06,7,180,5191.37986,7392.126043,-1472.775762,0.401316,0.460526,65,156
0.4,0.09,7,180,6163.37986,8364.126043,-500.775762,0.401316,0.453947,65,156
0.4,0.12,7,180,7135.37986,9336.126043,471.224238,0.401316,0.453947,65,156
0.4,0.15,7,180,8107.37986,10308.126043,1443.224238,0.401316,0.453947,65,156
0.55,0.06,7,180,3090.165846,6503.062907,-6317.309784,0.559211,0.486842,76,157
0.55,0.09,7,180,4068.165846,7481.062907,-5339.309784,0.559211,0.480263,76,157
0.55,0.12,7,180,5046.165846,8459.062907,-4361.309784,0.559211,0.467105,76,157
0.55,0.15,7,180,6024.165846,9437.062907,-3383.309784,0.559211,0.467105,76,157
0.7,0.06,7,180,5767.276792,9944.371841,-5373.42302,0.703947,0.519737,65,155
0.7,0.09,7,180,6706.276792,10883.371841,-4434.42302,0.703947,0.513158,65,155
0.7,0.12,7,180,7640.823004,11817.918053,-3499.87662,0.703947,0.506579,65,155
0.7,0.15,7,180,8567.823004,12744.918053,-2572.87662,0.703947,0.5,65,155
